name,url,urlname,members,city,rating,query,lat,lon,country,past_events_count,organizer_count,primary_organizer,last_event_date,has_upcoming_events,events_url,leaders_url,days_since_last_event,in_pro_network,pro_network_misses,upcoming_events_count,source
PyData Cardiff Meetup,https://www.meetup.com/pydata-cardiff-meetup,pydata-cardiff-meetup,1118,Cardiff,4.8,"Cardiff, United Kingdom",51.4816546,-3.1791934,United Kingdom,28,6,Tim Vivian-Griffiths,2026-07-24T04:00:00+01:00[Europe/London],True,https://www.meetup.com/pydata-cardiff-meetup/events/,https://www.meetup.com/pydata-cardiff-meetup/members/?op=leaders,23,True,0,1,
PyData Wolverhampton,https://www.meetup.com/pydata-wolverhampton,pydata-wolverhampton,108,Wolverhampton,,"Wolverhampton, United Kingdom",52.5847651,-2.127567,United Kingdom,6,,"NumFOCUS, Inc.",2026-07-24T04:00:00+01:00[Europe/London],True,https://www.meetup.com/pydata-wolverhampton/events/,https://www.meetup.com/pydata-wolverhampton/members/?op=leaders,23,True,0,0,
PyData Exeter,https://www.meetup.com/pydata-exeter,pydata-exeter,585,Exeter,4.6,"Exeter, United Kingdom",50.7256138,-3.5269209,United Kingdom,18,7,Anna,2026-07-24T04:00:00+01:00[Europe/London],True,https://www.meetup.com/pydata-exeter/events/,https://www.meetup.com/pydata-exeter/members/?op=leaders,23,True,0,0,
"PyData Birmingham, UK",https://www.meetup.com/pydata-birmingham-uk,pydata-birmingham-uk,194,Birmingham,4.3,"Birmingham, United Kingdom",52.4796992,-1.9026911,United Kingdom,2,,,2025-09-09T17:30:00+01:00[Europe/London],False,https://www.meetup.com/pydata-birmingham-uk/events/,https://www.meetup.com/pydata-birmingham-uk/members/?op=leaders,340,True,0,0,
PyData Bristol,https://www.meetup.com/PyData-Bristol,PyData-Bristol,1320,Bristol,4.8,"Bristol, United Kingdom",51.4538022,-2.5972985,United Kingdom,0,,,,True,https://www.meetup.com/PyData-Bristol/events/,https://www.meetup.com/PyData-Bristol/members/?op=leaders,,False,0,0,
PyData Pará,https://www.meetup.com/pydata-para,pydata-para,285,Belém,5.0,"Belém, Brasil",-1.45056,-48.4682453,Brasil,4,5,"NumFOCUS, Inc.",2026-07-24T04:00:00-04:00[America/Boa_Vista],True,https://www.meetup.com/pydata-para/events/,https://www.meetup.com/pydata-para/members/?op=leaders,22,True,0,0,
PyData Hull,https://www.meetup.com/pydata-hull,pydata-hull,289,Hull,,"Hull, United Kingdom",53.7623863,-0.3301214,United Kingdom,9,4,"NumFOCUS, Inc.",2026-07-31T15:30:00+01:00[Europe/London],True,https://www.meetup.com/pydata-hull/events/,https://www.meetup.com/pydata-hull/members/?op=leaders,15,True,0,0,
PyData Leicester,https://www.meetup.com/test-austin,test-austin,61,Leicester,,"Leicester, United Kingdom",52.6362,-1.1331969,United Kingdom,3,,"NumFOCUS, Inc.",2026-07-24T04:00:00+01:00[Europe/London],True,https://www.meetup.com/test-austin/events/,https://www.meetup.com/test-austin/members/?op=leaders,23,True,0,0,
PyData Milton Keynes,https://www.meetup.com/pydata-milton-keynes,pydata-milton-keynes,2513,Milton Keynes,4.5,"Milton Keynes, United Kingdom",52.0406502,-0.7594092,United Kingdom,7,3,Grace Farayola,2026-07-24T04:00:00+01:00[Europe/London],True,https://www.meetup.com/pydata-milton-keynes/events/,https://www.meetup.com/pydata-milton-keynes/members/?op=leaders,23,True,0,2,
PyData Southampton,https://www.meetup.com/pydata-southampton,pydata-southampton,785,Southampton,4.8,"Southampton, United Kingdom",50.9025349,-1.404189,United Kingdom,46,8,Adam Hill,2026-07-24T04:00:00+01:00[Europe/London],True,https://www.meetup.com/pydata-southampton/events/,https://www.meetup.com/pydata-southampton/members/?op=leaders,23,True,0,1,
PyData Cambridge,https://www.meetup.com/pydata-cambridge-meetup,pydata-cambridge-meetup,1837,Cambridge,4.6,"Cambridge, United Kingdom",52.2055314,0.1186637,United Kingdom,64,7,Leandro Nunes,2026-07-24T04:00:00+01:00[Europe/London],True,https://www.meetup.com/pydata-cambridge-meetup/events/,https://www.meetup.com/pydata-cambridge-meetup/members/?op=leaders,23,True,0,0,
PyData Surrey,https://www.meetup.com/pydata-surrey,pydata-surrey,25,Woking,,"Woking, United Kingdom",51.3201891,-0.5564726,United Kingdom,3,,"NumFOCUS, Inc.",2026-07-24T04:00:00+01:00[Europe/London],True,https://www.meetup.com/pydata-surrey/events/,https://www.meetup.com/pydata-surrey/members/?op=leaders,23,True,0,0,
PyData London Meetup,https://www.meetup.com/pydata-london-meetup,pydata-london-meetup,16486,London,4.7,"London, United Kingdom",51.5074456,-0.1277653,United Kingdom,130,17,"NumFOCUS, Inc.",2026-08-04T17:30:00+01:00[Europe/London],True,https://www.meetup.com/pydata-london-meetup/events/,https://www.meetup.com/pydata-london-meetup/members/?op=leaders,11,True,0,0,
PyData Katsina,https://www.meetup.com/pydata-katsina,pydata-katsina,9,Norwich,,"Norwich, Nigeria",8.8808183,5.9431849,Nigeria,3,,"NumFOCUS, Inc.",2026-07-24T04:00:00+01:00[Europe/London],True,https://www.meetup.com/pydata-katsina/events/,https://www.meetup.com/pydata-katsina/members/?op=leaders,23,True,0,0,
PyData Norwich,https://www.meetup.com/pydata-norwich,pydata-norwich,159,Norwich,5.0,"Norwich, United Kingdom",52.6285576,1.2923954,United Kingdom,12,4,"NumFOCUS, Inc.",2026-07-24T04:00:00+01:00[Europe/London],True,https://www.meetup.com/pydata-norwich/events/,https://www.meetup.com/pydata-norwich/members/?op=leaders,23,True,0,0,
PyData Kent,https://www.meetup.com/pydata-kent,pydata-kent,65,Canterbury,,"Canterbury, United Kingdom",51.2800275,1.0802533,United Kingdom,3,,"NumFOCUS, Inc.",2026-07-24T04:00:00+01:00[Europe/London],True,https://www.meetup.com/pydata-kent/events/,https://www.meetup.com/pydata-kent/members/?op=leaders,23,True,0,0,
PyData Lisbon,https://www.meetup.com/PyData-Lisbon,PyData-Lisbon,2213,Lisbon,4.7,"Lisbon, Portugal",38.7077507,-9.1365919,Portugal,29,3,Sílvio Rodrigues,2026-07-24T04:00:00+01:00[Europe/Lisbon],True,https://www.meetup.com/PyData-Lisbon/events/,https://www.meetup.com/PyData-Lisbon/members/?op=leaders,23,True,0,0,
PyData Amsterdam,https://www.meetup.com/pydata-nl,pydata-nl,6563,Amsterdam,4.6,"Amsterdam, Nederland",52.3730796,4.8924534,Nederland,110,12,"NumFOCUS, Inc.",2026-07-30T16:00:00+02:00[Europe/Amsterdam],True,https://www.meetup.com/pydata-nl/events/,https://www.meetup.com/pydata-nl/members/?op=leaders,16,True,0,0,
Pydata Belgium,https://www.meetup.com/Pydata-Belgium,Pydata-Belgium,642,Brussels,4.9,"Brussels, België / Belgique / Belgien",50.8467372,4.352493,België / Belgique / Belgien,10,,Murilo Cunha,2026-07-30T16:30:00+02:00[Europe/Brussels],False,https://www.meetup.com/Pydata-Belgium/events/,https://www.meetup.com/Pydata-Belgium/members/?op=leaders,16,True,0,1,
PyData Paris,https://www.meetup.com/pydata-paris,pydata-paris,5103,Paris,4.7,"Paris, France",48.8534951,2.3483915,France,36,4,Sylvain Corlay,2025-12-09T10:30:00+01:00[Europe/Paris],False,https://www.meetup.com/pydata-paris/events/,https://www.meetup.com/pydata-paris/members/?op=leaders,249,False,0,0,
PyData Eindhoven,https://www.meetup.com/pydata-eindhoven,pydata-eindhoven,1211,Eindhoven,4.7,"Eindhoven, Nederland",51.4392648,5.478633,Nederland,23,11,Gareth Thomas,2026-07-24T04:00:00+02:00[Europe/Amsterdam],True,https://www.meetup.com/pydata-eindhoven/events/,https://www.meetup.com/pydata-eindhoven/members/?op=leaders,23,True,0,0,
PyData Madrid,https://www.meetup.com/pydata-madrid,pydata-madrid,2161,Madrid,4.8,"Madrid, España",40.416782,-3.703507,España,57,7,"NumFOCUS, Inc.",2026-07-24T04:00:00+02:00[Europe/Madrid],True,https://www.meetup.com/pydata-madrid/events/,https://www.meetup.com/pydata-madrid/members/?op=leaders,23,True,0,0,
Copenhagen Julia Meetup Group,https://www.meetup.com/copenhagen-julia-meetup-group,copenhagen-julia-meetup-group,225,Copenhagen,4.8,"Copenhagen, Danmark",55.6867243,12.5700724,Danmark,0,,,,True,https://www.meetup.com/copenhagen-julia-meetup-group/events/,https://www.meetup.com/copenhagen-julia-meetup-group/members/?op=leaders,,False,0,0,
PyData Copenhagen,https://www.meetup.com/PyData-Copenhagen,PyData-Copenhagen,2700,Copenhagen,4.7,"Copenhagen, Danmark",55.6867243,12.5700724,Danmark,55,,"NumFOCUS, Inc.",2026-07-24T04:00:00+02:00[Europe/Copenhagen],True,https://www.meetup.com/PyData-Copenhagen/events/,https://www.meetup.com/PyData-Copenhagen/members/?op=leaders,23,False,0,0,
